online_order,book_table,location,rest_type,cuisines,listed_in(type),listed_in(city)
1,1,1,29,1436,0,1
1,0,1,29,1466,0,1
1,0,1,23,1191,0,1
0,0,1,66,1886,0,1
0,0,4,29,1877,0,1
1,0,4,29,1870,0,1
0,0,57,29,203,0,1
1,1,1,23,1194,1,1
1,0,1,22,1146,1,1
1,0,1,22,724,1,1
1,0,1,22,1109,1,1
1,1,1,22,1146,1,1
1,1,1,22,1116,1,1
0,0,1,22,1132,1,1
1,0,1,23,1191,1,1
1,0,1,22,1109,1,1
1,0,1,22,1114,1,1
1,0,1,22,1124,1,1
0,0,1,22,85,1,1
1,0,1,22,1116,1,1
1,0,1,22,1183,1,1
1,0,1,22,716,1,1
0,0,1,22,1174,1,1
1,0,1,28,1172,1,1
0,0,1,22,1109,1,1
0,0,1,22,533,1,1
1,0,1,28,1208,1,1
0,0,1,22,712,1,1
0,0,1,22,1174,1,1
0,0,4,23,1123,1,1
1,0,4,22,1190,1,1
1,0,1,66,1054,2,1
1,0,1,40,551,2,1
1,0,1,40,1892,2,1
1,0,1,66,961,2,1
1,0,1,40,868,2,1
1,0,1,66,1317,2,1
1,0,1,29,1431,2,1
1,0,32,29,1441,2,1
1,0,1,66,1908,2,1
1,0,4,66,1694,2,1
0,0,1,59,1908,2,1
1,0,1,66,1077,2,1
1,0,1,66,1681,2,1
1,1,1,23,1194,2,1
0,0,1,40,1544,2,1
1,0,49,66,1447,2,1
1,0,49,29,937,2,1
1,0,69,29,1481,2,1
1,0,49,66,1424,2,1
0,0,1,66,1870,2,1
1,0,88,66,817,2,1
0,0,1,42,1589,2,1
1,0,32,29,174,2,1
0,0,1,66,1235,2,1
1,0,1,40,59,2,1
1,0,1,66,954,2,1
1,1,1,29,375,2,1
0,0,1,66,1077,2,1
1,0,1,42,772,2,1
0,0,1,29,1761,2,1
1,1,49,29,904,2,1
1,0,4,66,1227,2,1
0,1,1,29,1447,2,1
0,0,1,3,511,2,1
1,0,4,66,1305,2,1
1,0,32,66,1908,2,1
0,0,1,65,1246,2,1
0,0,1,0,551,2,1
1,0,4,66,668,2,1
1,0,1,41,974,2,1
0,0,1,66,915,2,1
0,0,1,66,1870,2,1
0,0,1,40,1248,2,1
0,0,1,66,1665,2,1
0,0,1,41,1694,2,1
1,0,4,66,1908,2,1
1,0,1,66,1011,2,1
0,0,1,66,1622,2,1
0,0,1,66,1461,2,1
1,0,88,48,164,2,1
1,0,1,16,781,2,1
0,0,1,68,1847,2,1
0,0,1,29,1447,2,1
0,0,1,66,1478,2,1
0,0,1,0,551,2,1
1,0,32,29,935,2,1
0,0,1,66,1870,2,1
0,0,1,42,1569,2,1
0,0,1,66,868,2,1
0,0,1,40,551,2,1
0,0,1,41,1908,2,1
0,0,1,59,1908,2,1
0,0,1,42,1743,2,1
0,0,1,29,1870,2,1
0,0,1,8,1461,2,1
0,0,1,66,561,2,1
0,0,1,29,1750,2,1
0,0,1,66,1694,2,1
1,0,4,42,782,2,1
0,0,1,66,1908,2,1
